danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,mood
0.427,0.127,-12.731,0.0419,0.964,1.92E-06,0.109,0.259,76.357,250573,0
0.428,0.285,-17.293,0.0292,0.856,0.000329,0.0812,0.227,134.979,278727,0
0.486,0.614,-8.045,0.0336,0.12,0.691,0.0956,0.184,90.054,191927,0
0.455,0.317,-8.031,0.0448,0.9,0,0.0962,0.44,71.113,177143,0
0.481,0.476,-9.153,0.296,0.554,4.55E-06,0.109,0.35,83.134,189294,0
0.681,0.283,-11.496,0.0296,0.781,0.00371,0.114,0.221,111.05,236747,0
0.811,0.609,-8.376,0.0996,0.227,0,0.102,0.439,120.071,134197,0
0.4,0.391,-7.924,0.0666,0.725,0,0.0884,0.446,164.544,265640,0
0.593,0.74,-6.12,0.0339,0.363,2.22E-05,0.102,0.502,118.008,208107,0
0.477,0.167,-13.478,0.0353,0.851,0.000701,0.136,0.104,128.018,288965,0
0.4,0.564,-7.444,0.0523,0.693,0,0.0863,0.483,99.269,211240,0
0.541,0.459,-10.433,0.0297,0.189,0.0274,0.099,0.803,171.165,187013,0
0.422,0.828,-6.476,0.0473,0.294,0.00137,0.127,0.385,110.447,177687,0
0.524,0.364,-10.209,0.0367,0.808,0,0.1,0.436,75.24,209831,0
0.763,0.372,-7.07,0.0683,0.544,0.000589,0.116,0.76,85.007,226000,0
0.629,0.327,-8.285,0.029,0.761,2.96E-05,0.103,0.381,74.953,197732,0
0.507,0.204,-11.575,0.0504,0.855,0,0.143,0.343,77.765,179120,0
0.76,0.806,-3.49,0.0823,0.0757,6.15E-06,0.159,0.158,104.938,171435,0
0.367,0.121,-13.778,0.0335,0.972,0.0322,0.0871,0.0926,132.244,149773,0
0.642,0.289,-9.918,0.0367,0.669,0,0.18,0.407,84.996,258373,0
0.552,0.126,-18.014,0.0306,0.956,0.0153,0.109,0.439,92.441,242000,0
0.556,0.446,-8.328,0.03,0.537,0,0.201,0.307,96.043,276000,0
0.567,0.267,-6.502,0.0299,0.839,1.46E-06,0.089,0.0592,110.011,240133,0
0.67,0.293,-10.56,0.0486,0.786,0,0.215,0.36,66.974,223086,0
0.59,0.656,-5.548,0.0335,0.093,0,0.676,0.138,108.115,212080,0
0.466,0.536,-6.227,0.0429,0.0951,0,0.114,0.377,75.998,210773,0
0.465,0.772,-3.932,0.0378,0.0959,1.04E-05,0.167,0.257,155.83,215640,0
0.52,0.119,-12.148,0.0407,0.922,0,0.0883,0.355,69.217,202496,0
0.63,0.696,-4.501,0.0242,0.144,0,0.0835,0.491,94.034,261427,0
0.511,0.566,-7.23,0.2,0.349,0,0.34,0.218,83.903,239836,0
0.534,0.392,-7.636,0.0267,0.649,0.000227,0.0948,0.163,90.379,216533,0
0.623,0.276,-8.893,0.0287,0.89,0,0.146,0.308,99.623,187621,0
0.62,0.447,-9.383,0.147,0.815,0.000216,0.111,0.612,86.647,240467,0
0.574,0.329,-6.829,0.0274,0.22,0,0.0986,0.356,130.993,237933,0
0.481,0.0759,-14.2,0.0601,0.956,0,0.154,0.234,98.979,305676,0
0.764,0.32,-7.209,0.0546,0.837,0,0.0822,0.575,91.019,189486,0
0.49,0.193,-9.544,0.0421,0.862,9.74E-06,0.113,0.184,89.154,189507,0
0.553,0.621,-7.356,0.0333,0.0428,0.596,0.115,0.19,120.051,272067,0
0.682,0.173,-8.749,0.0314,0.839,3.26E-05,0.0983,0.236,112.663,260285,0
0.593,0.263,-14.029,0.0567,0.844,5.36E-06,0.127,0.109,76.379,238520,0
0.609,0.692,-2.958,0.0259,0.0157,0,0.0864,0.454,116.959,233720,0
0.56,0.241,-12.621,0.0341,0.906,0.000329,0.257,0.148,118.462,324787,0
0.52,0.449,-11.919,0.0367,0.534,0.000182,0.0938,0.0642,96.103,202960,0
0.459,0.575,-4.858,0.0573,0.604,0,0.0885,0.183,111.881,215107,0
0.526,0.118,-14.455,0.0444,0.983,0.0251,0.111,0.146,129.029,251587,0
0.639,0.437,-6.959,0.0355,0.692,0,0.12,0.751,147.575,165120,0
0.481,0.285,-10.848,0.0424,0.9,0,0.123,0.316,130.029,210160,0
