danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,mood
0.9,0.255,-12.664,0.221,0.632,3.91E-05,0.0953,0.483,94.978,204242,0
0.235,0.187,-12.754,0.0347,0.988,0.00197,0.106,0.118,85.962,220640,0
0.338,0.15,-12.7,0.032,0.914,0.288,0.116,0.172,101.94,197720,0
0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,0
0.469,0.444,-7.064,0.0396,0.808,0,0.0932,0.221,129.385,225382,0
0.685,0.692,-5.122,0.0457,0.328,0,0.153,0.578,159.966,240051,0
0.691,0.0682,-18.186,0.0645,0.951,0,0.0916,0.352,76.94,222468,0
0.674,0.331,-11.716,0.0842,0.348,4.87E-06,0.0725,0.212,99.992,213747,0
0.587,0.497,-10.757,0.0307,0.723,0.782,0.142,0.401,144.972,287634,0
0.514,0.312,-7.863,0.0264,0.217,0,0.065,0.0682,77.02,250600,0
0.644,0.548,-5.416,0.0286,0.0209,8.68E-06,0.134,0.166,90.042,253813,0
0.708,0.186,-8.953,0.042,0.868,0,0.0779,0.322,72.541,156106,0
0.582,0.641,-7.532,0.0271,0.0153,0.00459,0.154,0.181,106.026,238307,0
0.644,0.522,-8.197,0.0273,0.0824,0,0.122,0.477,99.999,204014,0
0.487,0.279,-11.586,0.0265,0.647,0.00185,0.11,0.162,139.362,237027,0
0.581,0.225,-12.764,0.0333,0.923,0.000216,0.117,0.373,87.12,281018,0
0.804,0.479,-6.661,0.0321,0.494,0,0.0994,0.462,120,228484,0
0.421,0.407,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028,285120,0
0.481,0.262,-15.73,0.0414,0.735,0.0114,0.832,0.375,122.883,334744,0
0.656,0.181,-8.544,0.0322,0.852,0,0.061,0.342,111.438,145889,0
0.539,0.424,-9.361,0.0406,0.317,0,0.108,0.17,118.071,256867,0
0.524,0.323,-6.06,0.0262,0.25,7.57E-05,0.107,0.236,79.787,196662,0
0.467,0.324,-10.451,0.0255,0.615,0.0248,0.118,0.166,94.301,320267,0
0.567,0.448,-12.051,0.0355,0.81,0.0149,0.272,0.326,135.012,142222,0
0.572,0.292,-7.621,0.0364,0.906,1.04E-06,0.106,0.223,100.152,228759,0
0.53,0.281,-8.274,0.0577,0.798,0,0.0928,0.341,122.442,144377,0
0.382,0.446,-8.693,0.0382,0.63,0,0.0946,0.213,77.399,205859,0
0.494,0.632,-6.89,0.0342,0.682,0,0.0869,0.0797,147.873,274693,0
0.245,0.543,-8.607,0.0371,0.439,0.0202,0.189,0.354,97.94,226990,0
0.407,0.147,-8.822,0.0355,0.857,2.89E-06,0.0913,0.0765,141.284,229400,0
0.348,0.226,-10.918,0.0386,0.962,0.00483,0.135,0.173,129.251,269000,0
0.59,0.242,-11.724,0.0516,0.978,0.000124,0.0906,0.366,126.721,214174,0
0.518,0.729,-7.193,0.0452,0.183,0,0.0643,0.343,156.879,240013,0
0.784,0.373,-8.083,0.0287,0.775,0,0.0936,0.519,94.974,149311,0
0.76,0.337,-12.594,0.085,0.232,0,0.115,0.508,104.98,147815,0
0.407,0.308,-9.001,0.0296,0.778,1.46E-05,0.092,0.153,73.254,256236,0
0.63,0.5,-8.755,0.0611,0.611,4.04E-05,0.114,0.315,144.871,245172,0
0.41,0.0485,-13.918,0.038,0.947,0,0.108,0.247,137.97,173175,0
0.596,0.552,-10.278,0.097,0.0765,0.334,0.104,0.112,97.949,229320,0
0.422,0.321,-8.952,0.0294,0.76,2.33E-06,0.429,0.28,78.533,196347,0
0.631,0.402,-11.125,0.0286,0.616,0.0114,0.0892,0.598,78,228480,0
0.38,0.219,-13.273,0.0358,0.917,0.0104,0.0827,0.0517,73.537,242265,0
0.556,0.538,-5.408,0.0382,0.0689,0,0.196,0.291,143.95,223347,0
0.551,0.651,-5.828,0.0594,0.225,0,0.224,0.562,144.875,194907,0
0.641,0.823,-7.368,0.0563,0.0112,5.86E-06,0.355,0.697,140.052,157459,0
0.677,0.485,-5.795,0.0361,0.529,2.04E-05,0.0766,0.493,82.001,239317,0
0.543,0.385,-12.441,0.153,0.669,3.88E-06,0.33,0.289,92.019,183454,0
0.47,0.133,-13.678,0.0394,0.825,2.03E-06,0.119,0.0463,67.609,169904,0
0.621,0.31,-10.164,0.0283,0.945,6.12E-05,0.117,0.125,111.893,240707,0
0.669,0.308,-10.068,0.029,0.883,0,0.0984,0.52,64.934,121887,0
0.708,0.322,-12.46,0.0371,0.747,9.24E-05,0.137,0.46,98.892,193947,0
0.637,0.843,-5.413,0.0432,0.0151,0,0.0876,0.434,109.012,220733,0
0.575,0.193,-15.494,0.179,0.951,0.0443,0.156,0.308,118.589,125052,0
0.459,0.575,-4.858,0.0573,0.604,0,0.0885,0.183,111.881,215107,0
0.404,0.48,-8.906,0.0303,0.274,8.63E-06,0.132,0.2,129.162,216187,0
0.721,0.339,-11.195,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747,0
0.726,0.431,-8.765,0.135,0.731,0,0.696,0.348,144.026,173333,0
0.517,0.552,-9.459,0.517,0.211,0,0.0756,0.127,83.548,211613,0
0.538,0.338,-12.098,0.0282,0.755,5.68E-05,0.848,0.33,89.93,345707,0
0.471,0.474,-6.355,0.0382,0.723,0,0.0964,0.262,120.656,174793,0
0.776,0.418,-12.799,0.209,0.405,0.0479,0.676,0.692,80.026,225607,0
0.363,0.355,-9.877,0.0457,0.371,7.43E-05,0.0814,0.19,180.364,266533,0
0.694,0.602,-7.358,0.0276,0.472,0.0982,0.109,0.329,104.997,164008,0
0.648,0.189,-13.553,0.0311,0.984,0.000375,0.132,0.231,98.891,230547,0
0.453,0.383,-11.015,0.163,0.728,0,0.387,0.333,105.029,175027,0
0.389,0.665,-6.169,0.0644,0.178,0.000732,0.116,0.199,117.055,193547,0
0.209,0.417,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,295533,0
0.872,0.391,-9.144,0.242,0.469,4.13E-06,0.297,0.437,134.021,119133,0
0.473,0.339,-6.039,0.0364,0.596,0,0.103,0.265,175.264,215773,0
0.315,0.29,-12.247,0.0456,0.809,0,0.1,0.237,174.137,181518,0
0.725,0.258,-14.065,0.255,0.668,2.63E-05,0.0955,0.173,127.876,184500,0
0.631,0.44,-5.948,0.028,0.328,0,0.239,0.418,136.033,212745,0
0.501,0.405,-5.679,0.0319,0.751,0,0.105,0.446,109.891,182161,0
0.457,0.407,-11.475,0.0308,0.805,0.884,0.126,0.126,117.053,257533,0
0.523,0.438,-11.49,0.0356,0.867,0.0723,0.123,0.106,126.028,245240,0
0.621,0.108,-15.399,0.0493,0.968,1.67E-05,0.137,0.204,129.285,270462,0
0.455,0.292,-6.792,0.0563,0.889,0,0.106,0.43,84.339,178467,0
0.754,0.503,-10.88,0.0622,0.654,0.00617,0.309,0.467,123.927,204804,0
0.628,0.587,-5.195,0.0441,0.111,0,0.156,0.4,140.01,202480,0
0.52,0.761,-3.093,0.0853,0.256,4.96E-06,0.17,0.286,141.971,180823,0
0.492,0.275,-13.4,0.3,0.687,0,0.101,0.18,92.6,251034,0
0.486,0.204,-14.511,0.0449,0.938,0,0.108,0.243,126.144,200745,0
0.658,0.294,-8.533,0.0321,0.422,5.20E-05,0.0749,0.358,74.038,278180,0
0.538,0.334,-8,0.0337,0.585,0,0.0851,0.722,88.084,153040,0
0.618,0.47,-8.2,0.0476,0.774,0,0.106,0.395,125.949,263907,0
0.441,0.0769,-14.846,0.0332,0.905,1.62E-06,0.089,0.337,76.776,218667,0
0.78,0.68,-6.081,0.0305,0.141,1.20E-05,0.138,0.594,118.026,180560,1
0.802,0.904,-3.267,0.0459,0.00108,0,0.173,0.961,128.931,192533,1
0.653,0.869,-3.725,0.0382,0.128,2.20E-05,0.046,0.697,122.017,197347,1
0.596,0.869,-11.97,0.037,0.0116,0.173,0.0678,0.944,109.902,238733,1
0.477,0.6,-6.363,0.0835,0.466,0,0.0688,0.486,159.975,206311,1
0.54,0.758,-6.374,0.0328,0.014,0,0.158,0.688,121.836,155208,1
0.564,0.945,-4.705,0.0493,0.0189,0,0.359,0.399,101.003,246333,1
0.57,0.416,-9.063,0.0243,0.334,0,0.139,0.323,98.045,164600,1
0.722,0.681,-5.484,0.0763,0.0192,0,0.124,0.455,145.91,212249,1
0.69,0.651,-8.267,0.0324,0.292,0.00241,0.105,0.706,97.918,254560,1
0.429,0.543,-9.139,0.0347,0.536,2.54E-05,0.125,0.693,122.619,145107,1
0.548,0.807,-6.525,0.0302,0.00163,0.000182,0.16,0.712,105.445,161542,1
0.676,0.786,-4.529,0.0478,0.197,0,0.0943,0.483,125.983,218359,1
0.71,0.614,-5.787,0.0302,0.45,1.49E-06,0.136,0.798,111.433,204250,1
0.545,0.675,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,267867,1
0.764,0.732,-5.29,0.0285,0.255,4.69E-05,0.0914,0.789,132.008,187520,1
0.673,0.758,-3.632,0.158,0.039,0,0.341,0.542,135.956,229507,1
0.902,0.438,-8.63,0.0493,0.503,0.135,0.101,0.943,118.048,248520,1
0.623,0.417,-8.699,0.0354,0.296,0,0.135,0.721,130.032,191360,1
0.62,0.573,-11.893,0.0423,0.271,0,0.0607,0.897,81.548,231333,1
0.582,0.821,-4.861,0.0365,0.00754,2.10E-06,0.818,0.468,100.025,261373,1
0.678,0.869,-4.345,0.0461,0.149,0,0.0593,0.882,123.964,200533,1
0.581,0.772,-6.544,0.0401,0.000343,0.0191,0.11,0.361,127.952,320587,1
0.537,0.84,-4.799,0.0363,0.047,0,0.33,0.192,97.993,184120,1
0.578,0.866,-3.804,0.0619,0.00701,0,0.257,0.619,128.038,199080,1
0.608,0.687,-6.447,0.0372,0.0417,0,0.0966,0.897,156.95,206333,1
0.742,0.695,-7.128,0.0369,0.098,3.37E-06,0.0998,0.823,100.062,219213,1
0.483,0.77,-4.829,0.0512,0.007,0,0.182,0.386,132.992,235960,1
0.594,0.749,-6.251,0.0677,0.00188,0.000139,0.0869,0.344,130.064,205746,1
0.697,0.824,-6.328,0.111,0.137,0.00702,0.141,0.599,158.023,185316,1
0.531,0.715,-5.784,0.028,0.087,0.000192,0.323,0.886,159.176,235747,1
0.661,0.911,-6.571,0.0417,0.0557,5.54E-06,0.348,0.919,117.147,334187,1
0.765,0.602,-7.319,0.0447,0.0507,2.80E-05,0.0993,0.684,107.998,191189,1
0.74,0.589,-5.355,0.0349,0.0642,0.0994,0.141,0.869,109.981,178987,1
0.593,0.861,-4.559,0.0341,0.0102,0.000851,0.107,0.818,170.009,177747,1
0.765,0.29,-17.117,0.139,0.0279,1.02E-06,0.571,0.506,92.409,298773,1
0.921,0.438,-8.771,0.0442,0.0948,0.00271,0.37,0.596,98.972,188380,1
0.599,0.887,-3.967,0.0984,0.0192,1.21E-06,0.3,0.881,170.918,193837,1
0.825,0.842,-6.412,0.103,0.000417,0.835,0.0601,0.44,125.988,193997,1
0.477,0.731,-4.732,0.0508,0.00438,0,0.145,0.754,152.412,154160,1
0.682,0.815,-5.747,0.0656,0.107,0.000659,0.114,0.867,113.04,219795,1
0.721,0.693,-7.964,0.113,0.208,0,0.135,0.454,138.535,182540,1
0.685,0.466,-9.074,0.0304,0.794,2.06E-06,0.0915,0.353,79.936,163133,1
0.721,0.822,-4.843,0.0391,0.0113,7.01E-05,0.0898,0.536,140.002,217387,1
0.685,0.869,-4.704,0.126,0.00159,0.00018,0.0718,0.232,114.943,169681,1
0.596,0.715,-6.681,0.0362,0.00733,0.0244,0.243,0.77,117.962,228592,1
0.528,0.833,-6.19,0.0514,0.000414,1.23E-06,0.068,0.46,127.998,204759,1
0.637,0.714,-4.273,0.0279,0.0258,0,0.11,0.931,131.789,197027,1
0.614,0.615,-6.7,0.0444,0.054,0,0.0921,0.374,95.941,220291,1
0.618,0.837,-5.574,0.115,0.0842,0,0.344,0.8,168.114,174800,1
0.755,0.599,-5.042,0.224,0.147,0,0.109,0.755,133.123,216632,1
0.815,0.423,-11.169,0.114,0.278,0,0.0893,0.535,142,230521,1
0.647,0.465,-6.99,0.0276,0.28,0.000104,0.123,0.667,90.001,174187,1
0.686,0.608,-8.046,0.0678,0.0176,6.70E-06,0.0356,0.59,183.98,222813,1
0.693,0.575,-6.998,0.0801,0.374,0,0.252,0.492,117.999,211362,1
0.855,0.67,-6.971,0.043,0.114,2.51E-05,0.0503,0.889,134.994,154340,1
0.762,0.619,-7.416,0.109,0.602,0,0.312,0.716,98.024,150275,1
0.771,0.391,-11.442,0.166,0.0514,2.50E-06,0.0883,0.457,154.984,148645,1
0.404,0.962,-2.901,0.0978,0.0352,0,0.146,0.572,158.121,182267,1
0.669,0.697,-11.104,0.248,0.157,1.95E-05,0.26,0.449,110.049,205479,1
0.602,0.843,-4.831,0.0593,0.000688,5.27E-05,0.0682,0.526,128.003,227987,1
0.705,0.78,-6.267,0.0805,0.456,0.00152,0.115,0.457,142.028,218228,1
0.814,0.632,-5.768,0.0499,0.0362,0.00424,0.0966,0.52,118.954,213374,1
0.58,0.622,-7.759,0.035,0.0177,7.53E-05,0.0472,0.835,164.921,197818,1
0.503,0.772,-6.205,0.0322,0.595,2.47E-06,0.199,0.935,79.462,165613,1
0.878,0.525,-6.832,0.0578,0.183,0,0.0714,0.694,112.022,158571,1
0.621,0.901,-5.396,0.0302,0.17,0,0.0875,0.744,113.967,300773,1
0.562,0.767,-5.069,0.0653,0.244,0.000234,0.687,0.741,166.123,266347,1
0.565,0.771,-5.22,0.213,0.00464,0,0.0568,0.573,168.385,225526,1
0.738,0.804,-3.851,0.0621,0.332,0,0.279,0.949,174.943,190213,1
0.777,0.582,-6.435,0.0357,0.134,0.000752,0.336,0.925,138.98,147893,1
0.707,0.924,-2.842,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,1
0.741,0.808,-4.434,0.0439,0.00911,1.46E-05,0.609,0.415,99.984,184812,1
0.7,0.709,-5.006,0.0839,0.0048,0,0.0289,0.625,122.019,202960,1
0.682,0.644,-6.513,0.121,0.00456,2.73E-06,0.121,0.563,122.381,207573,1
0.476,0.357,-8.123,0.0353,0.702,0,0.105,0.414,131.114,122924,1
0.589,0.778,-5.091,0.0268,0.0814,2.10E-06,0.149,0.596,118.057,271187,1
0.868,0.559,-6.928,0.0518,0.239,0.00159,0.111,0.443,94.929,229921,1
0.693,0.754,-7.57,0.0309,0.00828,0.0198,0.445,0.432,123.98,229920,1
0.569,0.743,-5.395,0.0297,0.384,0.0136,0.205,0.364,118.982,177507,1
0.431,0.484,-7.27,0.0583,0.506,0,0.117,0.517,150.739,213173,1
0.838,0.625,-7.701,0.04,0.196,0.00177,0.188,0.799,124.021,174300,1
0.803,0.548,-7.103,0.12,0.351,0,0.0953,0.75,121.942,214920,1
0.73,0.433,-7.05,0.0455,0.0849,0,0.169,0.572,94.596,173053,1
0.56,0.872,-4.269,0.14,0.0239,6.98E-06,0.371,0.682,126.05,205933,1
0.699,0.832,-4.558,0.0398,0.014,0.0552,0.642,0.441,125.006,161280,1
0.617,0.615,-6.518,0.0567,0.0139,0,0.0897,0.564,125.898,218631,1
0.676,0.771,-3.675,0.0483,0.0237,7.00E-06,0.102,0.569,99.048,207133,1
0.486,0.617,-7.115,0.0287,0.0954,3.23E-06,0.109,0.417,138.015,242373,1
0.741,0.751,-5.041,0.038,0.451,0,0.0949,0.832,129.979,208373,1
0.744,0.512,-7.674,0.0317,0.0374,0,0.0942,0.948,118.108,167707,1
0.736,0.633,-10.551,0.265,0.288,2.34E-05,0.0937,0.668,114.937,279652,1
0.814,0.514,-11.571,0.0295,0.255,0.0471,0.0605,0.787,114.06,141267,1
0.543,0.645,-7.116,0.2,0.561,0.00322,0.153,0.482,123.26,201599,1
0.59,0.868,-5.832,0.048,0.0962,0.000322,0.442,0.798,184.348,230640,1
0.774,0.849,-2.986,0.0301,0.016,0.000199,0.0348,0.962,126.996,235000,1
0.507,0.599,-7.074,0.0934,0.0079,0,0.0909,0.516,89.932,177778,1
0.694,0.712,-3.923,0.046,0.133,0,0.211,0.799,98.022,201122,1
0.579,0.904,-2.729,0.0618,0.193,0,0.064,0.681,82.014,190947,1
0.653,0.861,-4.204,0.0343,0.0102,0.00181,0.162,0.252,127.036,189693,1
0.625,0.826,-3.557,0.0652,0.016,0.00245,0.27,0.802,127.026,200880,1
0.671,0.71,-6.749,0.276,0.00388,1.58E-06,0.14,0.711,98.074,197253,1
0.724,0.652,-9.385,0.0363,0.194,0.0119,0.256,0.723,120.004,273653,1
0.573,0.916,-3.39,0.0616,0.0795,0,0.0784,0.871,84.476,245120,1
0.669,0.832,-5.72,0.0682,0.0106,0,0.0968,0.7,113.035,237547,1
0.602,0.901,-3.842,0.0854,0.0104,0.00677,0.0799,0.362,94.57,191007,1
0.362,0.921,-3.815,0.486,0.123,0,0.19,0.529,172.191,180840,1
0.883,0.633,-3.183,0.0349,0.0814,0,0.149,0.578,99.974,182412,1
0.644,0.816,-6.078,0.297,0.138,0,0.17,0.801,93.837,153813,1
0.652,0.748,-5.242,0.0887,0.0849,0,0.604,0.652,94.1,267413,1
0.861,0.408,-6.632,0.217,0.756,4.36E-05,0.278,0.713,113.964,212632,1
0.687,0.447,-6.586,0.0486,0.0829,0,0.0878,0.501,114.578,202640,1
0.604,0.841,-5.145,0.0423,0.0299,0.00382,0.136,0.578,138.976,203310,1
0.566,0.716,-5.733,0.0424,0.00691,0,0.37,0.45,81.068,207481,1
0.513,0.556,-13.695,0.0669,0.0913,9.30E-05,0.261,0.451,179.897,170763,1
0.748,0.735,-8.692,0.0903,0.47,1.09E-05,0.0851,0.854,150.04,203653,1
0.698,0.604,-6.489,0.0494,0.518,0,0.07,0.832,118.692,158373,1
0.873,0.495,-5.446,0.0518,0.199,0,0.0805,0.546,106.033,202062,1
0.793,0.464,-6.624,0.0386,0.112,0,0.109,0.851,124.994,148600,1
0.279,0.742,-6.46,0.0898,0.000185,0,0.593,0.328,189.868,231013,1
0.641,0.706,-11.807,0.0333,0.0317,0.000805,0.206,0.404,125.974,188948,1
0.737,0.569,-6.702,0.0552,0.261,0.308,0.046,0.912,167.202,190707,1
0.687,0.792,-2.749,0.0452,0.191,0,0.167,0.671,100.015,214290,1
0.704,0.7,-3.67,0.0475,0.0761,0,0.138,0.965,95.002,187987,1
0.693,0.565,-9.409,0.0749,0.00725,2.13E-05,0.113,0.532,102.158,249500,1
0.752,0.746,-7.36,0.0392,0.0184,0.00404,0.121,0.875,129.018,255399,1
0.715,0.655,-6.425,0.137,0.0525,0,0.115,0.531,95.078,207333,1
0.697,0.832,-7.264,0.0298,0.168,0.00131,0.269,0.979,125.926,215093,1
0.736,0.813,-4.296,0.0853,0.0393,1.64E-06,0.164,0.933,118.968,203934,1
0.457,0.757,-5.177,0.032,0.0206,0,0.146,0.417,102.961,266600,1
0.738,0.617,-12.153,0.126,0.381,0,0.281,0.863,101.012,176436,1
0.772,0.685,-6.849,0.0696,0.019,8.96E-05,0.131,0.501,130.033,283400,1
0.748,0.788,-7.055,0.0334,0.0591,0,0.0863,0.884,120.076,235493,1
0.717,0.455,-8.303,0.0276,0.0846,0,0.11,0.389,127.812,200733,1
0.847,0.678,-8.635,0.109,0.0669,0,0.274,0.811,97.984,200594,1
0.67,0.838,-4.031,0.0362,0.0604,0.000611,0.159,0.717,104.998,222041,1
0.474,0.829,-4.795,0.0371,0.0703,0,0.336,0.598,163.932,184427,1
0.623,0.734,-5.948,0.107,0.0162,1.75E-06,0.145,0.37,107.853,244453,1
0.654,0.81,-6.26,0.0288,0.00719,0.00251,0.165,0.661,114.623,200307,1
0.739,0.511,-7.844,0.0362,0.167,1.34E-06,0.133,0.542,96.038,215360,1
0.623,0.845,-6.188,0.106,0.584,5.00E-05,0.181,0.556,179.924,226293,1
0.658,0.474,-9.289,0.0411,0.607,7.55E-05,0.121,0.701,123.014,249557,1
0.728,0.652,-5.543,0.0333,0.039,0,0.129,0.835,150.05,157562,1
0.592,0.788,-4.924,0.201,0.0599,2.54E-06,0.125,0.755,89.949,224493,1
0.732,0.555,-7.494,0.0276,0.0212,6.33E-06,0.0695,0.621,95.019,214656,1
0.566,0.593,-7.348,0.0349,0.0206,0.0654,0.121,0.806,111,300867,1
0.524,0.83,-5.952,0.0911,0.00399,1.03E-06,0.0561,0.178,189.773,200842,1
0.388,0.338,-10.054,0.0328,0.652,3.72E-06,0.248,0.477,177.784,303373,1
0.431,0.81,-5.379,0.066,0.276,0,0.0906,0.795,76.412,169307,1
0.757,0.72,-5.644,0.0425,0.0698,1.45E-05,0.112,0.96,121.968,192414,1
0.937,0.528,-6.305,0.0353,0.0952,1.10E-06,0.237,0.766,104.96,186000,1
0.681,0.736,-6.269,0.0288,0.0633,7.96E-06,0.0596,0.849,125.976,205587,1
0.807,0.495,-7.859,0.034,0.0663,0,0.111,0.74,93.063,156507,1
0.703,0.783,-5.926,0.0629,0.0486,0.000208,0.149,0.391,127.957,247529,1
0.583,0.905,-6.132,0.0733,0.0984,0.00019,0.0593,0.646,173.982,226827,1
0.822,0.739,-4.541,0.0311,0.0264,4.26E-05,0.181,0.745,118.992,241933,1
0.638,0.629,-9.112,0.026,0.544,3.57E-05,0.104,0.598,96.04,233893,1
0.719,0.674,-5.122,0.0681,0.0879,3.75E-06,0.112,0.843,125.98,215042,1
0.613,0.622,-5.794,0.0334,0.00882,0,0.37,0.484,80.003,231240,1
0.574,0.96,-4.906,0.032,0.0457,0,0.121,0.978,117.486,254733,1
0.485,0.846,-5.894,0.0729,0.0157,0,0.359,0.634,81.024,157043,1
0.478,0.873,-3.637,0.122,0.0486,0,0.374,0.739,104.365,155668,1
0.891,0.745,-3.312,0.0538,0.0644,0,0.256,0.869,101.007,222000,1
0.602,0.477,-10.047,0.125,0.15,0.000953,0.11,0.889,90.408,315245,1
0.584,0.841,-6.922,0.0361,0.00315,0.656,0.112,0.927,155.99,212667,1
0.58,0.547,-8.999,0.0356,0.0301,7.71E-06,0.107,0.244,120.057,177854,1
0.62,0.669,-7.339,0.103,0.359,0.128,0.166,0.527,110.772,207828,1
0.461,0.755,-3.71,0.0318,0.0178,1.13E-06,0.18,0.439,124.256,236627,1
0.856,0.609,-7.223,0.0824,0.00801,8.15E-05,0.0344,0.928,114.988,269667,1
0.796,0.807,-4.721,0.0438,0.0386,0,0.1,0.931,111.004,210697,1
0.515,0.916,-5.762,0.185,0.00027,0.00853,0.0663,0.417,150.025,215194,1
0.745,0.639,-4.312,0.0327,0.193,0.0194,0.142,0.713,111.957,192800,1
0.729,0.379,-11.256,0.0891,0.804,0.000335,0.0697,0.429,119.867,161493,1
0.657,0.89,-6.1,0.105,0.0125,0.00979,0.0959,0.413,115.099,188609,1
0.504,0.6,-8.831,0.0529,0.263,0.353,0.164,0.763,178.996,168346,1
0.564,0.714,-4.987,0.129,0.0549,0,0.155,0.33,175.924,204013,1
0.787,0.837,-5.419,0.0556,0.0926,0,0.155,0.918,122.004,185629,1
0.483,0.721,-6.836,0.032,0.729,0,0.189,0.562,95.261,369600,1
0.715,0.97,-2.206,0.0648,0.0644,0.000156,0.205,0.963,79.504,239240,1
0.731,0.867,-5.881,0.032,0.0395,0,0.0861,0.776,104.019,200373,1
0.696,0.943,-2.962,0.0431,0.0736,0,0.653,0.833,129.003,194867,1
0.618,0.734,-5.35,0.0532,0.0727,0,0.177,0.777,91.926,198670,1
0.699,0.529,-7.548,0.0487,0.0317,3.59E-05,0.285,0.121,119.987,206167,1
0.649,0.894,-4.788,0.0307,0.106,0.133,0.123,0.352,105.016,306440,1
0.628,0.912,-4.002,0.0395,0.0901,0.282,0.217,0.897,116.749,165173,1
0.763,0.807,-3.714,0.035,0.0714,0.28,0.348,0.559,103.038,229640,1
0.632,0.858,-3.463,0.035,0.0624,0,0.347,0.872,119.397,232693,1
0.571,0.654,-11.034,0.0501,0.551,0,0.0599,0.947,117.955,235267,1
0.723,0.86,-4.357,0.203,0.271,4.56E-06,0.598,0.667,126.979,200013,1
0.67,0.609,-10.088,0.0333,0.749,6.74E-05,0.227,0.573,127.463,109736,1
0.668,0.616,-8.171,0.119,0.148,0,0.0633,0.624,150.099,153808,1
0.484,0.731,-6.694,0.0379,0.431,0,0.151,0.51,101.654,204280,1
0.562,0.683,-6.179,0.0328,0.0211,0,0.176,0.464,97.061,203320,1
0.934,0.694,-5.849,0.101,0.0962,1.20E-06,0.478,0.835,123.829,181240,1
0.605,0.743,-5.326,0.0246,0.0334,0,0.565,0.749,102.995,190480,1
0.792,0.787,-5.022,0.0337,0.0803,0,0.255,0.961,122.103,193672,1
0.736,0.817,-4.9,0.0407,0.00987,0.00167,0.117,0.653,119.95,204760,1
0.639,0.846,-6.184,0.0439,0.0325,0,0.116,0.475,115.965,224813,1
0.713,0.604,-7.885,0.0351,0.477,4.78E-05,0.0612,0.385,109.975,205288,1
0.628,0.672,-7.749,0.025,0.0498,2.13E-05,0.178,0.745,100.993,173267,1
0.632,0.807,-5.893,0.126,0.144,0.0211,0.125,0.784,160.174,197933,1
0.662,0.844,-5.495,0.0669,0.00295,4.78E-05,0.525,0.763,145.007,205760,1
0.786,0.588,-3.777,0.165,0.0503,0,0.167,0.685,75.011,156505,1
0.665,0.799,-2.868,0.0617,0.18,0,0.125,0.5,101.976,228112,1
0.647,0.868,-6.427,0.105,0.0876,0.124,0.129,0.803,121.822,242240,1
0.722,0.687,-7.587,0.139,0.109,2.82E-06,0.662,0.281,108.985,172320,1
0.638,0.411,-10.724,0.0277,0.674,0.00357,0.106,0.563,131.18,268347,1
0.799,0.586,-6.735,0.0377,0.162,2.03E-06,0.193,0.549,120.97,227833,1
0.471,0.646,-4.37,0.309,0.132,0,0.249,0.415,126.17,190341,1
0.63,0.781,-3.735,0.338,0.364,2.24E-06,0.284,0.803,82.348,157098,1
0.651,0.695,-3.218,0.0487,0.23,0,0.144,0.569,123.008,205347,1
0.682,0.927,-2.915,0.0479,0.0843,0,0.149,0.744,101.019,195613,1
0.783,0.58,-6.548,0.0408,0.0114,2.28E-06,0.108,0.66,120.021,193400,1
0.572,0.565,-5.447,0.0381,0.069,0.000191,0.139,0.168,90.055,196213,1
0.82,0.575,-9.144,0.0408,0.0936,0.000135,0.109,0.964,123.765,208947,1
0.577,0.821,-6.069,0.0681,0.0458,1.02E-05,0.235,0.619,87.513,198927,1
0.704,0.859,-4.877,0.0996,0.0185,0,0.0215,0.926,105.115,217289,1
0.713,0.802,-7.055,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739,1
0.493,0.71,-4.965,0.0367,0.000405,0.000114,0.0824,0.62,130.145,231288,1
0.422,0.949,-3.789,0.0694,0.000294,0,0.073,0.635,165.032,225653,1
0.82,0.528,-11.179,0.0321,0.111,0.0186,0.257,0.931,120.091,272107,1
0.739,0.459,-14.42,0.0294,0.129,0.0194,0.0474,0.892,107.115,222320,1
0.49,0.83,-5.178,0.0366,0.197,9.41E-05,0.349,0.763,150.048,193437,1
0.417,0.824,-7.36,0.105,0.000239,0.0545,0.0725,0.4,157.92,302147,1
0.591,0.94,-4.341,0.0522,0.00391,0,0.383,0.676,100.043,224640,1
0.619,0.603,-9.481,0.0342,0.715,0,0.0721,0.958,127.432,178933,1
0.775,0.719,-6.212,0.0435,0.132,1.79E-06,0.0662,0.712,117.513,246027,1
0.5,0.748,-9.072,0.0363,0.127,0,0.447,0.514,118.852,250987,1
0.583,0.724,-7.279,0.0269,0.35,0.0131,0.115,0.91,154.007,195349,1
0.694,0.788,-5.33,0.0631,0.109,0,0.0647,0.903,96.982,187640,1
0.554,0.927,-3.641,0.0378,0.044,3.32E-06,0.0876,0.81,138,188613,1
0.726,0.787,-2.494,0.0737,0.009,0,0.0596,0.888,124.99,199987,1
0.799,0.687,-5.682,0.0431,0.193,0.000188,0.0307,0.965,108.804,215773,1
